update_date*,车系平均价格
2017/6/30,4.45
2017/6/29,4.46
2017/6/28,4.46
2017/6/27,4.47
2017/6/26,4.47
2017/6/25,4.47
2017/6/24,4.47
2017/6/23,4.48
2017/6/22,4.48
2017/6/21,4.48
2017/6/20,4.48
2017/6/19,4.49
2017/6/18,4.5
2017/6/17,4.5
2017/6/16,4.52
2017/6/15,4.52
2017/6/14,4.53
2017/6/13,4.52
2017/6/12,4.52
2017/6/11,4.54
2017/6/10,4.55
2017/6/9,4.55
2017/6/8,4.54
2017/6/7,4.54
2017/6/6,4.54
2017/6/5,4.55
2017/6/4,4.53
2017/6/3,4.51
2017/6/2,4.5
2017/6/1,4.49
2017/5/31,4.48
2017/5/30,4.48
2017/5/29,4.47
2017/5/28,4.46
2017/5/27,4.46
2017/5/26,4.47
2017/5/25,4.47
2017/5/24,4.47
2017/5/23,4.46
2017/5/22,4.47
2017/5/21,4.47
2017/5/20,4.47
2017/5/19,4.47
2017/5/18,4.47
2017/5/17,4.47
2017/5/16,4.46
2017/5/15,4.46
2017/5/14,4.46
2017/5/13,4.45
2017/5/12,4.44
2017/5/11,4.44
2017/5/10,4.43
2017/5/9,4.43
2017/5/8,4.43
2017/5/7,4.42
2017/5/6,4.42
2017/5/5,4.42
2017/5/4,4.44
2017/5/3,4.44
2017/5/2,4.44
2017/5/1,4.44
2017/4/30,4.44
2017/4/29,4.44
2017/4/28,4.44
2017/4/27,4.44
2017/4/26,4.43
2017/4/25,4.43
2017/4/24,4.44
2017/4/23,4.43
2017/4/22,4.43
2017/4/21,4.42
2017/4/20,4.42
2017/4/19,4.39
2017/4/18,4.38
2017/4/17,4.38
2017/4/16,4.38
2017/4/15,4.38
2017/4/14,4.38
2017/4/13,4.38
2017/4/12,4.38
2017/4/11,4.39
2017/4/10,4.4
2017/4/9,4.4
2017/4/8,4.39
2017/4/7,4.38
2017/4/6,4.35
2017/4/5,4.33
2017/4/4,4.33
2017/4/3,4.36
2017/4/2,4.24
2017/4/1,0.0
