日期,30天日均发布量*,成分车商每日发布量
2017/6/30,16.4,13
2017/6/29,16.53,19
2017/6/28,16.13,27
2017/6/27,15.63,21
2017/6/26,15.33,9
2017/6/25,15.87,8
2017/6/24,16.3,16
2017/6/23,16.47,11
2017/6/22,16.87,15
2017/6/21,17.5,23
2017/6/20,17.17,14
2017/6/19,17.3,20
2017/6/18,17.0,7
2017/6/17,17.47,12
2017/6/16,17.97,10
2017/6/15,18.2,17
2017/6/14,18.87,21
2017/6/13,18.87,21
2017/6/12,18.7,10
2017/6/11,18.7,10
2017/6/10,19.03,22
2017/6/9,19.0,18
2017/6/8,19.2,16
2017/6/7,19.53,23
2017/6/6,19.53,24
2017/6/5,19.3,23
2017/6/4,19.37,9
2017/6/3,20.0,15
2017/6/2,20.67,24
2017/6/1,20.53,14
2017/5/31,20.67,17
2017/5/30,20.67,7
2017/5/29,20.87,12
2017/5/28,21.03,12
2017/5/27,21.57,25
2017/5/26,21.83,21
2017/5/25,21.97,21
2017/5/24,22.9,23
2017/5/23,22.87,34
2017/5/22,22.57,13
2017/5/21,22.7,18
2017/5/20,22.77,11
2017/5/19,23.4,21
2017/5/18,24.03,27
2017/5/17,24.33,17
2017/5/16,24.7,37
2017/5/15,24.1,21
2017/5/14,23.8,16
2017/5/13,24.07,10
2017/5/12,24.63,20
2017/5/11,24.5,21
2017/5/10,24.13,24
2017/5/9,23.83,26
2017/5/8,23.6,23
2017/5/7,23.43,17
2017/5/6,23.57,25
2017/5/5,23.63,28
2017/5/4,23.57,35
2017/5/3,22.77,20
2017/5/2,22.67,18
2017/5/1,22.73,17
2017/4/30,,13
2017/4/29,,17
2017/4/28,,28
2017/4/27,,33
2017/4/26,,25
2017/4/25,,49
2017/4/24,,22
2017/4/23,,25
2017/4/22,,17
2017/4/21,,20
2017/4/20,,30
2017/4/19,,40
2017/4/18,,36
2017/4/17,,28
2017/4/16,,19
2017/4/15,,12
2017/4/14,,24
2017/4/13,,27
2017/4/12,,16
2017/4/11,,10
2017/4/10,,15
2017/4/9,,19
2017/4/8,,18
2017/4/7,,21
2017/4/6,,27
2017/4/5,,26
2017/4/4,,11
2017/4/3,,17
2017/4/2,,20
2017/4/1,,16
